                           t                        norm                    position           analytic position             numerical width              analytic width
      0.3950000000000000E+01      0.1000000000000000E+01     -0.6960142368930006E-01     -0.6906510965605077E-01      0.7903128995848452E+00      0.3981519810323691E+01
      0.4000000000000000E+01      0.9999999999999998E+00     -0.6593219493398003E-01     -0.6536436208636119E-01      0.8134149995760388E+00      0.4031128874149275E+01
      0.4050000000000000E+01      0.9999999999999997E+00     -0.6209817554295635E-01     -0.6150023765255744E-01      0.8356548166330171E+00      0.4080747480548141E+01
      0.4100000000000001E+01      0.1000000000000000E+01     -0.5810885944819584E-01     -0.5748239465332686E-01      0.8568877323889187E+00      0.4130375285612677E+01
      0.4150000000000000E+01      0.9999999999999999E+00     -0.5397414107538399E-01     -0.5332087560371544E-01      0.8769839767882528E+00      0.4180011961705373E+01
      0.4200000000000000E+01      0.9999999999999997E+00     -0.4970429162921203E-01     -0.4902608213406995E-01      0.8958273029380499E+00      0.4229657196511321E+01
      0.4250000000000000E+01      0.1000000000000000E+01     -0.4530993412154932E-01     -0.4460874899137929E-01      0.9133138738199789E+00      0.4279310692155923E+01
      0.4300000000000000E+01      0.1000000000000000E+01     -0.4080201719846528E-01     -0.4007991720799755E-01      0.9293513373970091E+00      0.4328972164382672E+01
      0.4350000000000001E+01      0.9999999999999999E+00     -0.3619178783054863E-01     -0.3545090650481311E-01      0.9438580654856089E+00      0.4378641341786286E+01
      0.4400000000000000E+01      0.9999999999999997E+00     -0.3149076293715591E-01     -0.3073328699784194E-01      0.9567625328838650E+00      0.4428317965096906E+01
      0.4450000000000000E+01      0.1000000000000001E+01     -0.2671070002005846E-01     -0.2593885027896261E-01      0.9680028154824272E+00      0.4478001786511480E+01
      0.4500000000000000E+01      0.9999999999999993E+00     -0.2186356688675273E-01     -0.2107957994307797E-01      0.9775261887619159E+00      0.4527692569068709E+01
      0.4550000000000000E+01      0.9999999999999994E+00     -0.1696151054982326E-01     -0.1616762163536865E-01      0.9852888108298055E+00      0.4577390086064328E+01
      0.4600000000000001E+01      0.9999999999999999E+00     -0.1201682539690612E-01     -0.1121525269350540E-01      0.9912554767936018E+00      0.4627094120503711E+01
      0.4650000000000000E+01      0.1000000000000000E+01     -0.7041920736049293E-02     -0.6234851460699166E-02      0.9953994337374715E+00      0.4676804464589043E+01
      0.4700000000000000E+01      0.9999999999999998E+00     -0.2049287832777720E-02     -0.1238866346289056E-02      0.9977022478585836E+00      0.4726520919238590E+01
      0.4750000000000000E+01      0.9999999999999992E+00      0.2948533433355472E-02      0.3760215288797655E-02      0.9981537174489415E+00      0.4776243293635700E+01
      0.4800000000000001E+01      0.1000000000000000E+01      0.7938988155073903E-02      0.8749898343944728E-02      0.9967518274121334E+00      0.4825971404805462E+01
      0.4850000000000001E+01      0.1000000000000000E+01      0.1290954008185482E-01      0.1371771121009082E-01      0.9935027429197205E+00      0.4875705077217038E+01
      0.4900000000000000E+01      0.1000000000000001E+01      0.1784770525459627E-01      0.1865123694225758E-01      0.9884208416771586E+00      0.4925444142409901E+01
      0.4950000000000000E+01      0.9999999999999997E+00      0.2274108544307623E-01      0.2353814429544512E-01      0.9815287861232502E+00      0.4975188438642300E+01
      0.5000000000000000E+01      0.1000000000000000E+01      0.2757740124294291E-01      0.2836621854632262E-01      0.9728576387708266E+00      0.5024937810560445E+01
